"Hydro production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Colombia";;;;;;;;;;;;572914,875322445;627515,047291491;682631,126397252;760877,04213242;765348,237317287;790799,656061913;898796,216681002;1037833,1900258;1140154,77214102;1228288,90799657;1228804,81513328;1299914,01547722;1312295,78675839;1466122,09802236;1577214,10146175;1824591,57351678;1989079,9656062;2096044,71195186;2292261,39294928;2364316,42304386;2384006,87876184;1915821,15219262;2395270,85124679;2756577,81599314;2765262,25279451;3051676,69819434;2706276,87016339;2646775,58039554;2901203,78331902;2757867,58383492;2734135,85554602;2920722,26999142;3110404,12725711;3446001,71969047;3422441,96044714;3675150,4729149;3821582,11521928;3989939,81083407;3529664,66036115;3473860,70507311;
"Comoros";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Congo, Dem. Rep.";;;;;;;;;;;;295528,804815135;295528,804815135;323989,681857267;291831,470335341;318658,641444542;344625,967325883;349527,085124679;343938,091143596;341272,570937233;364832,330180569;358469,475494413;354514,187446262;385124,677558042;403697,334479796;432244,196044714;452192,605331043;450730,868443683;451246,775580398;594582,975064492;483662,940670682;452192,605331043;520550,300945832;475322,44196045;455202,063628549;529578,675838352;523731,728288911;431986,242476357;404901,117798798;455717,970765265;515563,19862425;513671,539122961;525365,434221843;529664,660361138;608598,452278593;635425,623387794;646603,61134996;672398,96818573;643078,245915739;670335,339638869;674892,519346521;
"Congo, Rep.";;;;;;;;;;;;4643,16423043855;5674,97850386933;4299,22613929495;4729,14875322444;4987,10232158214;5417,02493551164;4127,25709372315;945,829750644889;6620,80825451422;8598,4522785899;8856,4058469476;14961,3069647464;19948,4092863286;21582,1152192606;25021,4961306966;23043,8521066209;23903,6973344799;24849,5270851248;34135,8555460019;42132,4161650905;41272,5709372315;36457,4376612212;30868,4436801377;27687,0163370595;30266,5520206364;39208,9423903699;38779,0197764404;29406,7067927775;8168,5296646604;25365,4342218402;28718,8306104903;34049,871023216;29406,7067927775;28374,8925193467;30524,5055889941;31986,2424763544;28804,8151332762;32244,1960447121;28374,8925193467;36973,3447979366;
"Cook Is";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Costa Rica";;;;;;;;;;;;88392,0894239042;94411,0060189171;97248,4952708518;107308,684436802;111349,957007739;124591,573516768;114961,306964747;127085,124677559;139552,880481514;182287,188306106;196474,634565779;205245,055889941;239552,880481515;258297,506448841;236973,344797938;248581,255374034;257953,568357697;261908,856405848;286156,491831472;290799,65606191;314359,415305247;308168,529664662;338091,143594155;339036,9733448;305674,978503871;327773,000859847;413413,585554602;368615,649183149;441702,493551163;488736,02751505;469303,525365437;513413,585554603;517798,796216684;572914,875322445;564574,376612213;567583,834909719;582029,23473775;635167,669819436;621238,17712812;624505,588993984;
"Cote d'Ivoire";;;;;;;;;;;;11951,84866724;19432,5021496132;14445,399828031;23817,712811694;32932,0722269993;29578,6758383493;19088,5640584696;14359,4153052451;62768,7016337063;116251,074806535;148753,224419605;148581,255374033;83920,8942390374;32072,2269991403;116766,981943251;102751,504729149;90455,7179707658;106706,792777301;137059,329320723;113671,539122958;107824,591573517;90111,7798796222;94496,990541703;100945,829750645;153396,388650044;153224,419604472;161564,918314704;118400,687876183;150816,852966467;151676,698194326;154772,141014618;148667,239896819;157523,645743767;150300,945829751;123559,759243337;129836,629406708;154514,18744626;163198,624247636;183233,018056751;139122,957867585;
"Croatia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;327171,109200346;496130,696474637;373258,813413588;373602,751504731;423903,697334482;452708,512467758;621496,130696478;454600,171969048;469303,525365437;566638,005159074;505073,086844371;562940,670679281;461306,964746348;419260,533104044;598280,309544285;544539,982803098;515907,136715394;364230,438521068;448495,270851249;578675,8383491;716165,090283753;
"Cuba";;;;;;;;;;;;9458,29750644889;6362,85468615652;5331,04041272574;7652,62252794501;5417,02493551164;4557,17970765265;6276,87016337063;7136,71539122962;8942,3903697335;8340,4987102322;5159,07136715394;3697,33447979366;5417,02493551164;6018,91659501293;4643,16423043855;5073,08684436804;3783,31900257956;6276,87016337063;7050,73086844372;7824,59157351681;9028,37489251939;6964,74634565782;7050,73086844372;4213,24161650905;6362,85468615652;8168,5296646604;11177,9879621669;8340,4987102322;8856,4058469476;7652,62252794501;6448,83920894242;9114,3594153053;11006,0189165951;7566,63800515911;5846,94754944113;8082,54514187451;10404,1272570938;11865,8641444541;12983,6629406707;8340,4987102322;
"Cyprus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Czech Republic";;;;;;;;;;;;103869,303525366;108684,436801376;92949,2691315568;156405,84694755;155975,924333621;124333,61994841;169131,556319863;157351,676698195;197162,510748066;206276,870163372;177214,101461738;143594,153052451;142304,385210663;111607,910576097;143680,137575237;161306,964746347;211951,848667241;180481,513327602;141272,570937232;99828,0309544287;93637,145313844;120550,30094583;117712,811693896;125537,403267413;172141,01461737;169303,525365435;146087,704213242;120034,393809115;144539,982803096;151160,79105761;176612,209802237;214273,43078246;118916,595012898;173602,75150473;204643,16423044;219260,533104042;179621,668099743;174032,67411866;208856,405846949;239810,834049872;183834,909716252
"Czechoslovakia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Denmark";2149,61306964747;2235,59759243337;2235,59759243337;2149,61306964747;2149,61306964747;2149,61306964747;2235,59759243337;2149,61306964747;1805,67497850388;1891,65950128978;2063,62854686158;2063,62854686158;2063,62854686158;2063,62854686158;2063,62854686158;2063,62854686158;2063,62854686158;1891,65950128978;1977,64402407568;2149,61306964747;2579,53568357697;2837,48925193467;2665,52020636287;2923,47377472057;2579,53568357697;2579,53568357697;2493,55116079107;2493,55116079107;2837,48925193467;1977,64402407568;2407,56663800517;2149,61306964747;2407,56663800517;2407,56663800517;2837,48925193467;2579,53568357697;1633,70593293208;1633,70593293208;2321,58211521927;2665,52020636287;2579,53568357697;2407,56663800517;2751,50472914877;1805,67497850388;2321,58211521927;1977,64402407568;1977,64402407568;2407,56663800517;2235,59759243337;1633,70593293208;1805,67497850388;1461,73688736028
"Djibouti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominican Republic";;;;;;;;;;;;46087,7042132419;49527,0851246778;45571,7970765265;43164,2304385213;36715,3912295789;67153,9122957871;39208,9423903699;63972,4849527088;71195,1848667244;47979,3637145316;117540,842648324;72055,0300945834;80825,451418745;99140,1547721415;98366,2940670684;119174,548581256;131986,242476355;141874,462596733;40756,6638005161;30008,5984522788;43594,1530524508;45829,7506448842;97076,52622528;45829,7506448842;51934,651762683;74204,6431642308;57179,7076526228;63026,655202064;94496,990541703;65520,206362855;59845,2278589857;74892,519346518;102579,535683578;137575,236457438;164058,469475495;150472,914875323;146259,673258814;119002,579535684;145485,812553741;154170,249355117;
"East Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ecuador";;;;;;;;;;;;37833,1900257956;38263,1126397251;37403,2674118661;42992,2613929495;53998,2803095446;52020,6362854689;47979,3637145316;68013,7575236461;60963,0266552024;74978,5038693039;66981,9432502153;76956,1478933796;147979,363714532;277987,962166811;281943,250214963;344969,905417027;392949,269131558;414961,306964749;425967,325881344;428804,815133278;436371,453138437;427687,016337062;499570,077386073;564488,392089427;443766,122098025;545485,812553743;561822,871883064;559415,305245059;617110,920034397;654256,233877906;607996,560619092;647033,53396389;617454,858125541;637317,282889083;591831,470335343;613069,64746346;777042,132416169;971109,200343943;792949,269131561;742562,338779024;
"Egypt";;;;;;;;;;;;433447,979363717;443594,153052453;443336,199484095;526397,248495274;583834,909716254;688134,13585555;777042,132416169;801375,752364579;817712,8116939;842734,307824596;878331,900257958;900601,891659506;844110,06018917;828288,907996565;744883,920894243;798022,355975929;744453,998280314;773860,705073091;857609,630266557;853998,280309549;851246,7755804;834049,87102322;901547,721410151;943336,199484098;981341,358555465;993551,160791063;1030696,47463457;1050902,83748926;1260447,11951849;1177730,00859846;1300945,82975065;1105674,97850388;1119432,50214962;1087188,30610491;1087188,30610491;1111349,95700774;1333619,94840929;1262424,76354257;1106018,91659502;1121754,08426484;
"El Salvador";;;;;;;;;;;;44883,9208942393;38005,1590713674;42304,3852106623;48323,3018056752;24591,5735167671;16852,9664660362;35339,6388650045;57265,6921754087;88650,0429922619;81341,3585554604;46947,5494411009;38865,0042992264;69045,5717970769;74720,5503009462;100687,876182288;105846,947549442;97506,4488392095;111951,84866724;122527,944969906;141702,493551162;109028,37489252;121754,084264833;130524,505588995;124505,588993982;126483,233018057;161908,856405848;122871,88306105;134651,762682718;151934,651762684;101031,814273431;100085,984522786;97936,371453139;126053,310404128;119346,517626828;143508,168529665;168701,633705934;149527,085124678;175236,457437662;129406,706792778;179191,745485814;
"Equatorial Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eritrea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eritrea and Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,984522785899;85,984522785899;257,953568357697;171,969045571798;171,969045571798;257,953568357697;343,938091143596;343,938091143596;429,922613929495;601,891659501293;515,907136715394;1117,79879621669;1891,65950128978;1891,65950128978;1203,78331900259;1805,67497850388;2407,56663800517;2751,50472914877;2321,58211521927;2579,53568357697
