"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Cuba";;;;;;;;;;;;4486000000;4648000000;5023000000;5326000000;5882000000;6406000000;6952000000;7658000000;8444000000;8274000000;9533000000;10008000000;10493000000;11199000000;10126000000;10933000000;11226000000;11930000000;12450000000;12847000000;11195000000;9711000000;9065000000;9738000000;10010000000;10660000000;11432000000;11540000000;11977000000;12661000000;12927000000;13273000000;13401000000;13223000000;13008000000;13820000000;14651000000;14869000000;14979000000;14629000000;
"Cyprus";;;;;;;;;;;;615000000;712000000;774000000;670000000;669000000;749000000;810000000;865000000;924000000;970000000;990000000;1063000000;1149000000;1175000000;1243000000;1334000000;1411000000;1540000000;1724000000;1863000000;1943000000;2272000000;2460000000;2560000000;2382000000;2460000000;2555000000;2815000000;2943000000;3182000000;3318000000;3618000000;3893000000;3988000000;4213000000;4431000000;4656000000;4925000000;5044000000;5160000000;
"Czech Republic";;;;;;;;;;;;33624804588,3636;35438433325,4422;36913579635,942;38381473843,7631;40285298589,0709;41940840340,8316;43401582213,3741;45763423615,2593;44898424186,2954;47050733335,0608;47728695472,3278;48156294999,0625;49578092983,8618;51095066706,5626;52963491236,1453;54173413199,5942;56106449102,0765;56699118937,5348;57445673525,7408;57699420311,9897;54177388874,5858;52369270897,7304;51934018166,9539;53542808474,9274;56453694171,0443;59070063956,8188;58275887490,949;57610195053,7444;56368757142,746;58325407319,7861;60134546965,1661;60130369197,8708;61878252493,5434;63442753102,5793;64820662973,821;66777706729,7009;66995956444,4522;67083322231,0754;63828931716,9023;66326393921,0965;
"Czechoslovakia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Denmark";4990181965,55466;5500314030,63564;6302583050,59656;7017907742,00696;7671505219,1072;8655150948,3481;9515130242,9388;10280487000,5381;11377894707,8481;12832332980,0935;14259846659,107;15171630998,6891;16693315531,9461;17190775222,1736;16355754974,1868;17278246299,8003;19268351877,4213;20378853788,5736;22038813394,2551;23243238374,9143;23561995400,766;23521646061,0141;23968861371,5632;24262281115,078;25473206454,5499;27364053511,2505;28734254755,461;29649071007,2744;30005544928,9952;30031558280,6667;30562564758,6949;32050600828,2796;32254178293,1796;32741293436,3381;34083523273,3021;33622942177,4446;34930748908,1476;34869981172,721;34470275548,5775;34629467092,6129;34613254513,8077;34762294517,2439;35089560929,0744;35550810881,5499;35725930136,6652;36088079908,0051;37144662535,1831;36470293257,9295;35924120138,6117;34363064848,2418;35115558008,6317;
"Djibouti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dominican Republic";;;;;;;;;;;;1068000000;1687000000;1955000000;1829000000;2072000000;2013000000;2280000000;2269000000;2675000000;2561000000;2630000000;1991000000;2270000000;2815000000;3082000000;3199000000;3222000000;2617000000;2348000000;2791000000;2918000000;4035000000;3870000000;4081000000;3923000000;5086000000;5200000000;5598000000;5573000000;6258000000;9070000000;11131000000;11940000000;10439000000;11821000000;12214000000;13094000000;13461000000;13306000000;14317000000;
"East Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ecuador";;;;;;;;;;;;903000000;961000000;1080000000;1186000000;1372000000;1605000000;1860000000;2211000000;2546000000;2873000000;3151000000;3395000000;3524000000;3641000000;3604000000;3884000000;4303000000;4408000000;4455000000;4918000000;5330000000;5599000000;5671000000;6163000000;6325000000;7164000000;7825000000;8375000000;7898000000;8051000000;8354000000;8602000000;8944000000;9979000000;10469000000;11765000000;13022000000;15335000000;15908000000;15261000000;
"Egypt";;;;;;;;;;;;7216000000;7240000000;7282000000;8211000000;9260000000;10799000000;12438000000;13309000000;14673000000;16544000000;18561000000;20861000000;23526000000;25024000000;24487000000;29867000000;32255000000;33914000000;36015000000;38049000000;39871000000;40965000000;42779000000;44413000000;46460000000;51100000000;54649000000;58608000000;63590000000;67246000000;72171000000;77129000000;83505000000;88285000000;95308000000;102475000000;110816000000;116207000000;123448000000;130437000000;
"El Salvador";;;;;;;;;;;;639000000;702000000;807000000;876000000;872000000;1018000000;1125000000;1247000000;1307000000;1256000000;1211000000;1210000000;1326000000;1394000000;1463000000;1506000000;1617000000;1687000000;1714000000;1857000000;1981000000;2085000000;2403000000;2634000000;2845000000;2937000000;3194000000;3308000000;3441000000;3621000000;3716000000;3979000000;4159000000;4160000000;4579000000;4969000000;5382000000;5298000000;5206000000;5296000000;
"Equatorial Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eritrea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123000000;128000000;141000000;148000000;169000000;185000000;163000000;176000000;172000000;194000000;216000000;233000000;235000000;242000000;232000000;245000000;242000000;260000000;272000000;
"Eritrea and Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9233911174,2866;8977277299,76161;7245242363,30394;5919793450,09263;6332433062,52111;6210570702,07165;6600214035,23892;6845822122,34778;6655381421,71588;6233459771,13431;6344711749,04985;6500903716,80689;6645203467,57502;7123558933,97914;7393388894,90028;7492663870,4343;7907888886,65599;8423533596,88508;8519330896,74977;7983080492,67648;8669328401,58757;
"Ethiopia";;;;;;;;;;;;552000000;564000000;551000000;542000000;537000000;531000000;505000000;535000000;596000000;635000000;682000000;728000000;780000000;842000000;809000000;835000000;881000000;864000000;866000000;1082000000;1088000000;1117000000;1245000000;1306000000;1374000000;1443000000;1453000000;1488000000;1480000000;1507000000;1811000000;1840000000;2066000000;2285000000;2560000000;2942000000;3212000000;3419000000;3613000000;4502000000;
"Faeroe Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Falkland Is (Malvinas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fiji";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Finland";8298687498,33508;9763725267,06426;10737742350,287;11211377050,2966;12343410526,8434;13410793363,8522;14634315404,5663;15333454722,6246;16649874094,4768;18708812472,4657;21053587589,7981;22602999877,9304;25619003086,435;28229687750,8127;28807754205,3489;28015952428,9814;30940730526,9693;31877766839,6603;34819476042,6451;37772034898,5978;39649610098,0535;40777187835,5754;41182429465,4598;44281587393,5574;47857811858,6514;51389000000;52277697249,8218;56077871482,5239;58322294128,8969;59782981693,9548;62259124856,8365;62467884054,6179;63005573102,0597;65862246981,3658;69191269561,9567;69422163096,76;70327288041,95;74287645045,4149;76474269954,8928;77821551058,0442;79172552329,3206;81455574085,4679;83874857091,4345;85677224656,408;87666688860,6572;84517732563,796;90642285301,0899;90790362883,8358;86920986656,9403;81413771311,9497;88422680450,211;
"France";66806144088,4386;71730826835,4046;77593166198,9913;83285049105,597;91398599976,1868;96922883382,6312;103175184129,259;108576210804,046;113440046740,827;124507975087,932;133354895886,015;140794225566,179;151089083094,962;164394071664,551;170951252548,028;171474342059,15;190405575178,628;196388962146,806;210125050754,889;225524541054,689;238237232390,899;247926605718,225;251203879764,473;257526479060,636;271731308057,605;290542442556,325;305990245197,044;315538910528,343;322032112977,157;330553736716,801;338243482814,167;362247549326,569;370562091161,669;370733648919,047;376453235063,445;382752847931,723;400591988182,367;397659488257,998;409614565517,908;420044754651,096;427359581570,281;436371380077,793;436450573076,488;453275283611,172;464491185629,022;466960332464,099;462571161927,412;464312973020,408;475114176198,124;458336407867,945;485255972719,655;
"French Guiana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"French Polynesia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gabon";;;;;;;;;;;;112000000;131000000;162000000;190000000;249000000;324000000;439000000;432000000;516000000;526000000;590000000;660000000;723000000;787000000;852000000;878000000;883000000;897000000;771000000;873000000;885000000;888000000;893000000;810000000;837000000;945000000;978000000;1075000000;1083000000;1081000000;1113000000;1182000000;1213000000;1230000000;1261000000;1343000000;1430000000;1503000000;1521000000;1512000000;
"Gambia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
